Country,GTI
Iraq,9.556
Pakistan,9.049
Afghanistan,8.669
India,8.147
Yemen,7.305
Somalia,7.244
Nigeria,7.242
Thailand,7.086
Russia,7.068
Phillippines,6.801
Sudan,6.3
Congo,6.182
Colombia,6.055
Syria,5.861
Algeria,5.831
SriLanka,5.68
Iran,5.633
Kenya,5.266
Turkey,5.238
Israel,5.155
Norway,5.031
Nepal,5.017
China,4.992
Burundi,4.899
CentralAfricanRepublic,4.844
Greece,4.597
Egypt,4.576
UnitedKingdom,4.509
Indonesia,4.505
Uganda,4.492
Lebanon,4.483
Belarus,4.256
Myanmar,4.088
CoteD'Ivoire,3.99
Eritrea,3.917
Senegal,3.864
Ethiopia,3.732
Rwanda,3.729
Bangladesh,3.672
Morocco,3.599
UnitedStates,3.566
Georgia,3.428
Mali,3.389
Niger,3.266
Spain,3.086
Chad,3.19
Kazakhstan,2.804
SaudiArabia,2.708
Qatar,2.68
Chile,2.636
Cameroon,2.627
Peru,2.491
Tunisia,2.358
Mauritania,2.181
Paraguay,2.174
Ukraine,2.163
Italy,2.066
Netherlands,2.037
Tajikistan,2.016
Mexico,2.008
Sweden,1.755
Germany,1.743
France,1.731
Australia,1.72
Angola,1.696
Venezuela,1.62
Argentina,1.475
Ireland,1.456
Austria,1.408
BosniaandHerzegovina,1.369
Zimbabwe,1.36
Bhutan,1.235
Honduras,1.225
Canada,1.177
Switzerland,1.173
Serbia,1.168
Denmark,1.129
Portugal,1.129
Moldova,0.992
Guyana,0.976
Azerbaijan,0.867
Bulgaria,0.741
Ecuador,0.679
Macedonia(FYR),0.624
Bahrain,0.616
Jordan,0.585
Uzbekistan,0.585
CzechRepublic,0.522
Madagascar,0.435
Bolivia,0.415
Malaysia,0.415
Kyrgyszstan,0.395
Libya,0.346
Hungary,0.277
EquatorialGuinea,0.217
Mozambique,0.203
Armenia,0.188
Estonia,0.158
Guinea-Bissau,0.158
Kuwait,0.158
Albania,0.119
Cambodia,0.119
Tanzania,0.119
NewZealan,0.079
UnitedArabEmirates,0.079
Haiti,0.074
Belgium,0.069
Finland,0.069
Japan,0.059
Swaziland,0.059
SouthAfrica,0.054
Cyprus,0.049
Lesotho,0.04
Benin,0.03
PapuaNewGuinea,0.01
Botswana,0
Brazil,0
BurkinaFaso,0
Congo,0
CostaRica,0
Croatia,0
Cuba,0
Djibouti,0
DominicanRepublic,0
ElSalvador,0
Gabon,0
Gambia,0
Ghana,0
Guatemala,0
Guinea-Bissau,0
Jamaica,0
Laos,0
Latvia,0
Liberia,0
Lithuania,0
Malawi,0
Mauritius,0
Mongolia,0
Montenegro,0
Namibia,0
Nicaragua,0
NorthKorea,0
Oman,0
Panama,0
Romania,0
SierraLeone,0
Singapore,0
Slovakia,0
Slovenia,0
SouthKorea,0
Taiwan,0
TrinidadandTobago,0
Turkmensitan,0
Uruguay,0
Vietnam,0
Zambia,0
