CountryName,CountryCode,IndicatorName,IndicatorCode,Year,Value
Afghanistan,AFG,Access to electricity (% of population),EG.ELC.ACCS.ZS,1990,34.61567
Afghanistan,AFG,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1990,20.36011
Afghanistan,AFG,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,1990,98.8728599036
Afghanistan,AFG,Access to non-solid fuel (% of population),EG.NSF.ACCS.ZS,1990,4.11176681519
Afghanistan,AFG,Adjusted savings: carbon dioxide damage (current US$),NY.ADJ.DCO2.CD,1990,13227621.4421
Afghanistan,AFG,Adjusted savings: energy depletion (current US$),NY.ADJ.DNGY.CD,1990,7806591.59329
Afghanistan,AFG,Adjusted savings: mineral depletion (current US$),NY.ADJ.DMIN.CD,1990,0.0
Afghanistan,AFG,Adjusted savings: net forest depletion (current US$),NY.ADJ.DFOR.CD,1990,83841774.8724
Afghanistan,AFG,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,1990,162.738
Afghanistan,AFG,Age dependency ratio (% of working-age population),SP.POP.DPND,1990,101.094929921
Afghanistan,AFG,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,1990,4.43831058242
Afghanistan,AFG,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,1990,96.6566193385
Afghanistan,AFG,Agricultural land (% of land area),AG.LND.AGRI.ZS,1990,58.266703428
Afghanistan,AFG,Agricultural land (sq. km),AG.LND.AGRI.K2,1990,380400.0
Afghanistan,AFG,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,1990,120.0
Afghanistan,AFG,"Agricultural machinery, tractors per 100 sq. km of arable land",AG.LND.TRAC.ZS,1990,0.151706700379
Afghanistan,AFG,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,1990,9.3999996185
Afghanistan,AFG,"Air transport, passengers carried",IS.AIR.PSGR,1990,241400.0
Afghanistan,AFG,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,1990,5300.0
Afghanistan,AFG,Arable land (% of land area),AG.LND.ARBL.ZS,1990,12.1159207181
Afghanistan,AFG,Arable land (hectares per person),AG.LND.ARBL.HA.PC,1990,0.655475791729
Afghanistan,AFG,Arable land (hectares),AG.LND.ARBL.HA,1990,7910000.0
Afghanistan,AFG,Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,1990,1.88098062655
Afghanistan,AFG,"Armed forces personnel, total",MS.MIL.TOTL.P1,1990,58000.0
Afghanistan,AFG,Arms imports (SIPRI trend indicator values),MS.MIL.MPRT.KD,1990,1900000000.0
Afghanistan,AFG,Battle-related deaths (number of people),VC.BTL.DETH,1990,1473.0
Afghanistan,AFG,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,1990,49.029
Afghanistan,AFG,Cereal production (metric tons),AG.PRD.CREL.MT,1990,2705000.0
Afghanistan,AFG,Cereal yield (kg per hectare),AG.YLD.CREL.KG,1990,1200.621
Afghanistan,AFG,Children (0-14) living with HIV,SH.HIV.0014,1990,100.0
Afghanistan,AFG,CO2 emissions (kt),EN.ATM.CO2E.KT,1990,2676.91
Afghanistan,AFG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1990,0.221826763798
Afghanistan,AFG,CO2 emissions from gaseous fuel consumption (% of total),EN.ATM.CO2E.GF.ZS,1990,15.0684931507
Afghanistan,AFG,CO2 emissions from gaseous fuel consumption (kt),EN.ATM.CO2E.GF.KT,1990,403.37
Afghanistan,AFG,CO2 emissions from liquid fuel consumption (% of total),EN.ATM.CO2E.LF.ZS,1990,71.5068493151
