CountryName,CountryCode,IndicatorName,IndicatorCode,Year,Value
European Union,EUU,Access to electricity (% of population),EG.ELC.ACCS.ZS,1990,99.9941638901
European Union,EUU,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1990,99.9921609918
European Union,EUU,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,1990,99.9950021179
European Union,EUU,Access to non-solid fuel (% of population),EG.NSF.ACCS.ZS,1990,95.8535142908
European Union,EUU,"Adjusted net enrolment rate, primary, both sexes (%)",SE.PRM.TENR,1990,95.2513580322
European Union,EUU,"Adjusted net enrolment rate, primary, female (%)",SE.PRM.TENR.FE,1990,95.3495330811
European Union,EUU,"Adjusted net enrolment rate, primary, male (%)",SE.PRM.TENR.MA,1990,95.1577377319
European Union,EUU,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,1990,2.886707521
European Union,EUU,Adjusted net national income (constant 2005 US$),NY.ADJ.NNTY.KD,1990,8.60555920107e+12
European Union,EUU,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,1990,6.36044787583e+12
European Union,EUU,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,1990,2.54384670978
European Union,EUU,Adjusted net national income per capita (constant 2005 US$),NY.ADJ.NNTY.PC.KD,1990,18005.2008008
European Union,EUU,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,1990,13307.8093487
European Union,EUU,"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,1990,10.8468172239
European Union,EUU,"Adjusted net savings, including particulate emission damage (% of GNI)",NY.ADJ.SVNG.GN.ZS,1990,10.4776478906
European Union,EUU,Adjusted savings: carbon dioxide damage (% of GNI),NY.ADJ.DCO2.GN.ZS,1990,0.218497069641
European Union,EUU,Adjusted savings: consumption of fixed capital (% of GNI),NY.ADJ.DKAP.GN.ZS,1990,15.1574800697
European Union,EUU,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,1990,4.01585987894
European Union,EUU,Adjusted savings: energy depletion (% of GNI),NY.ADJ.DNGY.GN.ZS,1990,0.295846242111
European Union,EUU,Adjusted savings: gross savings (% of GNI),NY.ADJ.ICTR.GN.ZS,1990,22.5194458595
European Union,EUU,Adjusted savings: mineral depletion (% of GNI),NY.ADJ.DMIN.GN.ZS,1990,0.00788662046893
European Union,EUU,Adjusted savings: natural resources depletion (% of GNI),NY.ADJ.DRES.GN.ZS,1990,0.321925516584
European Union,EUU,Adjusted savings: net forest depletion (% of GNI),NY.ADJ.DFOR.GN.ZS,1990,0.00877851258597
European Union,EUU,Adjusted savings: net national savings (% of GNI),NY.ADJ.NNAT.GN.ZS,1990,7.36196578978
European Union,EUU,Adjusted savings: particulate emission damage (% of GNI),NY.ADJ.DPEM.GN.ZS,1990,0.36916933333
European Union,EUU,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,1990,22.2833910075
European Union,EUU,Age dependency ratio (% of working-age population),SP.POP.DPND,1990,49.5672355334
European Union,EUU,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,1990,20.5700958725
European Union,EUU,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,1990,28.9026563256
European Union,EUU,Agricultural land (% of land area),AG.LND.AGRI.ZS,1990,50.3647913235
European Union,EUU,Agricultural land (sq. km),AG.LND.AGRI.K2,1990,1934424.0
European Union,EUU,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,1990,8191763.0
European Union,EUU,"Agricultural machinery, tractors per 100 sq. km of arable land",AG.LND.TRAC.ZS,1990,793.557871243
European Union,EUU,Agricultural methane emissions (% of total),EN.ATM.METH.AG.ZS,1990,38.7461617528
European Union,EUU,Agricultural nitrous oxide emissions (% of total),EN.ATM.NOXE.AG.ZS,1990,53.5615383726
European Union,EUU,Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN,1990,2.22727605108
European Union,EUU,Agricultural raw materials imports (% of merchandise imports),TM.VAL.AGRI.ZS.UN,1990,3.12391449357
European Union,EUU,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,1990,17574.000102
European Union,EUU,"Air transport, passengers carried",IS.AIR.PSGR,1990,205004600.0
European Union,EUU,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,1990,2905800.0
European Union,EUU,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,1990,14.3277085342
European Union,EUU,Arable land (% of land area),AG.LND.ARBL.ZS,1990,28.600176108
European Union,EUU,Arable land (hectares per person),AG.LND.ARBL.HA.PC,1990,0.251220541357
European Union,EUU,Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,1990,1.71705745046
European Union,EUU,"Armed forces personnel, total",MS.MIL.TOTL.P1,1990,3515000.0
European Union,EUU,Arms exports (SIPRI trend indicator values),MS.MIL.XPRT.KD,1990,6594000000.0
