Country,HDI_rank,HDI
Afghanistan,169,0.479
Albania,75,0.764
Algeria,83,0.745
Andorra,32,0.858
Angola,150,0.533
AntiguaandBarbuda,62,0.786
Argentina,45,0.827
Armenia,84,0.743
Australia,2,0.939
Austria,24,0.893
Azerbaijan,78,0.759
Bahamas,58,0.792
Bahrain,47,0.824
Bangladesh,139,0.579
Barbados,54,0.795
Belarus,52,0.796
Belgium,22,0.896
Belize,103,0.706
Benin,167,0.485
Bhutan,132,0.607
Bolivia(PlurinationalStateof),118,0.674
BosniaandHerzegovina,81,0.75
Botswana,108,0.698
Brazil,79,0.754
BruneiDarussalam,30,0.865
Bulgaria,56,0.794
BurkinaFaso,185,0.402
Burundi,184,0.404
CaboVerde,122,0.648
Cambodia,143,0.563
Cameroon,153,0.518
Canada,10,0.92
CentralAfricanRepublic,188,0.352
Chad,186,0.396
Chile,38,0.847
China,90,0.738
Colombia,95,0.727
Comoros,160,0.498
Congo,135,0.592
Congo(DemocraticRepublicofthe),176,0.435
CostaRica,66,0.776
Croatia,45,0.827
Cuba,68,0.775
Cyprus,33,0.856
CzechRepublic,28,0.878
Côted'Ivoire,171,0.474
Denmark,5,0.925
Djibouti,172,0.473
Dominica,96,0.726
DominicanRepublic,99,0.722
Ecuador,89,0.739
Egypt,111,0.691
ElSalvador,117,0.68
EquatorialGuinea,135,0.592
Eritrea,179,0.42
Estonia,30,0.865
Ethiopia,174,0.448
Fiji,91,0.736
Finland,23,0.895
France,21,0.897
Gabon,109,0.697
Gambia,173,0.452
Georgia,70,0.769
Germany,4,0.926
Ghana,139,0.579
Greece,29,0.866
Grenada,79,0.754
Guatemala,125,0.64
Guinea,183,0.414
Guinea-Bissau,178,0.424
Guyana,127,0.638
Haiti,163,0.493
Honduras,130,0.625
"HongKong,China(SAR)",12,0.917
Hungary,43,0.836
Iceland,9,0.921
India,131,0.624
Indonesia,113,0.689
Iran(IslamicRepublicof),69,0.774
Iraq,121,0.649
Ireland,8,0.923
Israel,19,0.899
Italy,26,0.887
Jamaica,94,0.73
Japan,17,0.903
Jordan,86,0.742
Kazakhstan,56,0.794
Kenya,146,0.555
Kiribati,137,0.588
Korea(Republicof),18,0.901
Kuwait,51,0.8
Kyrgyzstan,120,0.664
LaoPeople'sDemocraticRepublic,138,0.586
Latvia,44,0.83
Lebanon,76,0.763
Lesotho,160,0.497
Liberia,177,0.427
Libya,102,0.716
Liechtenstein,15,0.912
Lithuania,37,0.848
Luxembourg,20,0.898
Madagascar,158,0.512
Malawi,170,0.476
Malaysia,59,0.789
Maldives,105,0.701
Mali,175,0.442
Malta,33,0.856
Mauritania,157,0.513
Mauritius,64,0.781
Mexico,77,0.762
Micronesia(FederatedStatesof),127,0.638
Moldova(Republicof),107,0.699
Mongolia,92,0.735
Montenegro,48,0.807
Morocco,123,0.647
Mozambique,181,0.418
Myanmar,145,0.556
Namibia,125,0.64
Nepal,144,0.558
Netherlands,7,0.924
NewZealand,13,0.915
Nicaragua,124,0.645
Niger,187,0.353
Nigeria,152,0.527
Norway,1,0.949
Oman,52,0.796
Pakistan,147,0.55
Palau,60,0.788
"Palestine,Stateof",114,0.684
Panama,60,0.788
PapuaNewGuinea,154,0.516
Paraguay,110,0.693
Peru,87,0.74
Philippines,116,0.682
Poland,36,0.855
Portugal,41,0.843
Qatar,33,0.856
Romania,50,0.802
RussianFederation,49,0.804
Rwanda,159,0.498
SaintKittsandNevis,74,0.765
SaintLucia,92,0.735
SaintVincentandtheGrenadines,99,0.722
Samoa,104,0.704
SaoTomeandPrincipe,142,0.574
SaudiArabia,38,0.847
Senegal,162,0.494
Serbia,66,0.776
Seychelles,63,0.782
SierraLeone,179,0.42
Singapore,5,0.925
Slovakia,40,0.845
Slovenia,25,0.89
SolomonIslands,156,0.515
SouthAfrica,119,0.666
SouthSudan,181,0.418
Spain,27,0.884
SriLanka,73,0.766
Sudan,165,0.49
Suriname,97,0.725
Swaziland,148,0.541
Sweden,14,0.913
Switzerland,2,0.939
SyrianArabRepublic,149,0.536
Tajikistan,129,0.627
Tanzania(UnitedRepublicof),151,0.531
Thailand,87,0.74
TheformerYugoslavRepublicofMacedonia,82,0.748
Timor-Leste,133,0.606
Togo,166,0.487
Tonga,101,0.721
TrinidadandTobago,65,0.78
Tunisia,97,0.725
Turkey,71,0.767
Turkmenistan,111,0.692
Uganda,163,0.493
Ukraine,84,0.743
UnitedArabEmirates,42,0.84
UnitedKingdom,16,0.91
UnitedStates,10,0.92
Uruguay,54,0.795
Uzbekistan,105,0.701
Vanuatu,134,0.597
Venezuela(BolivarianRepublicof),71,0.767
VietNam,115,0.683
Yemen,168,0.482
Zambia,139,0.579
Zimbabwe,154,0.516
