CountryName,CountryCode,IndicatorName,IndicatorCode,Year,Value
Iraq,IRQ,Access to electricity (% of population),EG.ELC.ACCS.ZS,1990,91.61566
Iraq,IRQ,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1990,85.46011
Iraq,IRQ,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,1990,94.2908419313
Iraq,IRQ,Access to non-solid fuel (% of population),EG.NSF.ACCS.ZS,1990,86.7793321609
Iraq,IRQ,Adjusted savings: carbon dioxide damage (current US$),NY.ADJ.DCO2.CD,1990,259696260.971
Iraq,IRQ,Adjusted savings: consumption of fixed capital (current US$),NY.ADJ.DKAP.CD,1990,22592207707.9
Iraq,IRQ,Adjusted savings: energy depletion (current US$),NY.ADJ.DNGY.CD,1990,7138589805.44
Iraq,IRQ,Adjusted savings: mineral depletion (current US$),NY.ADJ.DMIN.CD,1990,0.0
Iraq,IRQ,Adjusted savings: net forest depletion (current US$),NY.ADJ.DFOR.CD,1990,4496314.41157
Iraq,IRQ,Adjusted savings: particulate emission damage (current US$),NY.ADJ.DPEM.CD,1990,937501774.374
Iraq,IRQ,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,1990,70.4966
Iraq,IRQ,Age dependency ratio (% of working-age population),SP.POP.DPND,1990,98.8216953209
Iraq,IRQ,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,1990,7.58919897805
Iraq,IRQ,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,1990,91.2324963429
Iraq,IRQ,Agricultural land (% of land area),AG.LND.AGRI.ZS,1990,21.1034135858
Iraq,IRQ,Agricultural land (sq. km),AG.LND.AGRI.K2,1990,92300.0
Iraq,IRQ,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,1990,38186.0
Iraq,IRQ,"Agricultural machinery, tractors per 100 sq. km of arable land",AG.LND.TRAC.ZS,1990,76.372
Iraq,IRQ,Agricultural methane emissions (% of total),EN.ATM.METH.AG.ZS,1990,15.4047851631
Iraq,IRQ,Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,1990,3295.9
Iraq,IRQ,Agricultural nitrous oxide emissions (% of total),EN.ATM.NOXE.AG.ZS,1990,80.0388563627
Iraq,IRQ,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,1990,3048.6
Iraq,IRQ,Agriculture value added per worker (constant 2005 US$),EA.PRD.AGRI.KD,1990,3190.14167489
Iraq,IRQ,"Agriculture, value added (annual % growth)",NV.AGR.TOTL.KD.ZG,1990,10.8653011346
Iraq,IRQ,"Agriculture, value added (constant 2005 US$)",NV.AGR.TOTL.KD,1990,1997028688.48
Iraq,IRQ,"Agriculture, value added (constant LCU)",NV.AGR.TOTL.KN,1990,4.2286192184e+12
Iraq,IRQ,"Agriculture, value added (current LCU)",NV.AGR.TOTL.CN,1990,4613300000.0
Iraq,IRQ,"Agriculture, value added (current US$)",NV.AGR.TOTL.CD,1990,14840585961.3
Iraq,IRQ,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,1990,42.7999992371
Iraq,IRQ,"Air transport, passengers carried",IS.AIR.PSGR,1990,701600.0
Iraq,IRQ,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,1990,7800.0
Iraq,IRQ,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,1990,1.13452664971
Iraq,IRQ,Arable land (% of land area),AG.LND.ARBL.ZS,1990,11.4319683563
Iraq,IRQ,Arable land (hectares per person),AG.LND.ARBL.HA.PC,1990,0.286066474411
Iraq,IRQ,Arable land (hectares),AG.LND.ARBL.HA,1990,5000000.0
Iraq,IRQ,Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,1990,35.932177627
Iraq,IRQ,"Armed forces personnel, total",MS.MIL.TOTL.P1,1990,1390000.0
Iraq,IRQ,Arms imports (SIPRI trend indicator values),MS.MIL.MPRT.KD,1990,779000000.0
Iraq,IRQ,Battle-related deaths (number of people),VC.BTL.DETH,1990,94.0
Iraq,IRQ,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,1990,37.71
Iraq,IRQ,Cereal production (metric tons),AG.PRD.CREL.MT,1990,3454800.0
Iraq,IRQ,Cereal yield (kg per hectare),AG.YLD.CREL.KG,1990,1060.959
Iraq,IRQ,CO2 emissions (kg per 2005 US$ of GDP),EN.ATM.CO2E.KD.GD,1990,1.53815034646
Iraq,IRQ,CO2 emissions (kg per 2011 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,1990,0.26111500322
Iraq,IRQ,CO2 emissions (kg per PPP $ of GDP),EN.ATM.CO2E.PP.GD,1990,0.403994514709
Iraq,IRQ,CO2 emissions (kt),EN.ATM.CO2E.KT,1990,52555.444
Iraq,IRQ,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1990,3.00687011524
Iraq,IRQ,"CO2 emissions from electricity and heat production, total (% of total fuel combustion)",EN.CO2.ETOT.ZS,1990,30.9996256084
