CountryName,CountryCode,IndicatorName,IndicatorCode,Year,Value
North America,NAC,Access to electricity (% of population),EG.ELC.ACCS.ZS,1990,100.0
North America,NAC,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1990,100.0
North America,NAC,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,1990,100.0
North America,NAC,Access to non-solid fuel (% of population),EG.NSF.ACCS.ZS,1990,100.0
North America,NAC,"Adjusted net enrolment rate, primary, both sexes (%)",SE.PRM.TENR,1990,96.9734115601
North America,NAC,"Adjusted net enrolment rate, primary, female (%)",SE.PRM.TENR.FE,1990,97.2686386108
North America,NAC,"Adjusted net enrolment rate, primary, male (%)",SE.PRM.TENR.MA,1990,96.6920166016
North America,NAC,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,1990,0.899448586023
North America,NAC,Adjusted net national income (constant 2005 US$),NY.ADJ.NNTY.KD,1990,7.44602868763e+12
North America,NAC,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,1990,5.4630283673e+12
North America,NAC,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,1990,-0.270182987446
North America,NAC,Adjusted net national income per capita (constant 2005 US$),NY.ADJ.NNTY.PC.KD,1990,26835.1152703
North America,NAC,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,1990,19688.4812175
North America,NAC,"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,1990,7.13836777849
North America,NAC,"Adjusted net savings, including particulate emission damage (% of GNI)",NY.ADJ.SVNG.GN.ZS,1990,6.86658378753
North America,NAC,Adjusted savings: carbon dioxide damage (% of GNI),NY.ADJ.DCO2.GN.ZS,1990,0.400124043527
North America,NAC,Adjusted savings: consumption of fixed capital (% of GNI),NY.ADJ.DKAP.GN.ZS,1990,14.9957145025
North America,NAC,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,1990,4.52253839688
North America,NAC,Adjusted savings: energy depletion (% of GNI),NY.ADJ.DNGY.GN.ZS,1990,0.837882162215
North America,NAC,Adjusted savings: gross savings (% of GNI),NY.ADJ.ICTR.GN.ZS,1990,18.9177553351
North America,NAC,Adjusted savings: mineral depletion (% of GNI),NY.ADJ.DMIN.GN.ZS,1990,0.0682052452145
North America,NAC,Adjusted savings: natural resources depletion (% of GNI),NY.ADJ.DRES.GN.ZS,1990,0.906311980411
North America,NAC,Adjusted savings: net forest depletion (% of GNI),NY.ADJ.DFOR.GN.ZS,1990,0.0
North America,NAC,Adjusted savings: net national savings (% of GNI),NY.ADJ.NNAT.GN.ZS,1990,3.92204083257
North America,NAC,Adjusted savings: particulate emission damage (% of GNI),NY.ADJ.DPEM.GN.ZS,1990,0.271783990962
North America,NAC,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,1990,53.8488944331
North America,NAC,Age dependency ratio (% of working-age population),SP.POP.DPND,1990,51.3054392009
North America,NAC,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,1990,18.7488022844
North America,NAC,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,1990,32.5420495764
North America,NAC,Agricultural land (% of land area),AG.LND.AGRI.ZS,1990,27.103999886
North America,NAC,Agricultural land (sq. km),AG.LND.AGRI.K2,1990,4947163.0
North America,NAC,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,1990,5176746.0
North America,NAC,"Agricultural machinery, tractors per 100 sq. km of arable land",AG.LND.TRAC.ZS,1990,223.926101193
North America,NAC,Agricultural methane emissions (% of total),EN.ATM.METH.AG.ZS,1990,26.9452335099
North America,NAC,Agricultural nitrous oxide emissions (% of total),EN.ATM.NOXE.AG.ZS,1990,47.9808453753
North America,NAC,Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN,1990,5.75174553879
North America,NAC,Agricultural raw materials imports (% of merchandise imports),TM.VAL.AGRI.ZS.UN,1990,1.86489413104
North America,NAC,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,1990,16176.7004395
North America,NAC,"Air transport, passengers carried",IS.AIR.PSGR,1990,485175416.0
North America,NAC,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,1990,7195400.0
North America,NAC,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,1990,11.4058719639
North America,NAC,Arable land (% of land area),AG.LND.ARBL.ZS,1990,12.6656647959
North America,NAC,Arable land (hectares per person),AG.LND.ARBL.HA.PC,1990,0.833162247819
North America,NAC,Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,1990,1.5863309355
North America,NAC,"Armed forces personnel, total",MS.MIL.TOTL.P1,1990,2267000.0
North America,NAC,Arms exports (SIPRI trend indicator values),MS.MIL.XPRT.KD,1990,10863000000.0
North America,NAC,Arms imports (SIPRI trend indicator values),MS.MIL.MPRT.KD,1990,517000000.0
North America,NAC,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,1990,16.5292834656
North America,NAC,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,1990,99.0
North America,NAC,Cereal production (metric tons),AG.PRD.CREL.MT,1990,369216839.0
North America,NAC,Cereal yield (kg per hectare),AG.YLD.CREL.KG,1990,4231.81457543
North America,NAC,CO2 emissions (kg per 2005 US$ of GDP),EN.ATM.CO2E.KD.GD,1990,0.583376377035
North America,NAC,CO2 emissions (kg per 2011 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,1990,0.519696268026
North America,NAC,CO2 emissions (kg per PPP $ of GDP),EN.ATM.CO2E.PP.GD,1990,0.804485562059
North America,NAC,CO2 emissions (kt),EN.ATM.CO2E.KT,1990,5259336.078
North America,NAC,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1990,18.9543843865
North America,NAC,"CO2 emissions from electricity and heat production, total (% of total fuel combustion)",EN.CO2.ETOT.ZS,1990,42.9820686218
North America,NAC,CO2 emissions from gaseous fuel consumption (% of total),EN.ATM.CO2E.GF.ZS,1990,21.4763420753
North America,NAC,CO2 emissions from gaseous fuel consumption (kt),EN.ATM.CO2E.GF.KT,1990,1129986.6618
North America,NAC,CO2 emissions from liquid fuel consumption (% of total),EN.ATM.CO2E.LF.ZS,1990,41.8343171337
North America,NAC,CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,1990,2200207.334
North America,NAC,CO2 emissions from manufacturing industries and construction (% of total fuel combustion),EN.CO2.MANF.ZS,1990,14.8816468625
North America,NAC,"CO2 emissions from other sectors, excluding residential buildings and commercial and public services (% of total fuel combustion)",EN.CO2.OTHX.ZS,1990,1.39422223733
North America,NAC,CO2 emissions from residential buildings and commercial and public services (% of total fuel combustion),EN.CO2.BLDG.ZS,1990,11.5964930166
North America,NAC,CO2 emissions from solid fuel consumption (% of total),EN.ATM.CO2E.SF.ZS,1990,35.6641245431
North America,NAC,CO2 emissions from solid fuel consumption (kt),EN.ATM.CO2E.SF.KT,1990,1876482.73142
North America,NAC,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,1990,29.145946844
North America,NAC,CO2 intensity (kg per kg of oil equivalent energy use),EN.ATM.CO2E.EG.ZS,1990,2.47631236261
North America,NAC,Coal rents (% of GDP),NY.GDP.COAL.RT.ZS,1990,0.0187196595519
North America,NAC,Combustible renewables and waste (% of total energy),EG.USE.CRNW.ZS,1990,3.31569760549
North America,NAC,Completeness of death registration with cause-of-death information (%),SP.REG.DTHS.ZS,1990,98.4724600321
North America,NAC,Contraceptive prevalence (% of women ages 15-49),SP.DYN.CONU.ZS,1990,70.7
North America,NAC,Crop production index (2004-2006 = 100),AG.PRD.CROP.XD,1990,79.6933186645
North America,NAC,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,1990,8.46951746201
North America,NAC,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,1990,12153.7125019
North America,NAC,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,1990,8.97712636647
North America,NAC,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,1990,48.3362732171
North America,NAC,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,1990,15.4592317766
North America,NAC,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,1990,10.6153179944
North America,NAC,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,1990,18.5697738824
North America,NAC,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,1990,3.99080487829
North America,NAC,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,1990,62.9423960898
North America,NAC,"Electricity production from renewable sources, excluding hydroelectric (% of total)",EG.ELC.RNWX.ZS,1990,2.71384063323
North America,NAC,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,1990,1.00043e+11
North America,NAC,Emigration rate of tertiary educated (% of total tertiary educated population),SM.EMI.TERT.ZS,1990,0.992308057075
North America,NAC,"Employment to population ratio, 15+, female (%) (national estimate)",SL.EMP.TOTL.SP.FE.NE.ZS,1990,54.2500407611
North America,NAC,"Employment to population ratio, 15+, male (%) (national estimate)",SL.EMP.TOTL.SP.MA.NE.ZS,1990,71.7845902613
North America,NAC,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,1990,62.6886724717
North America,NAC,"Employment to population ratio, ages 15-24, female (%) (national estimate)",SL.EMP.1524.SP.FE.NE.ZS,1990,56.4792822704
North America,NAC,"Employment to population ratio, ages 15-24, male (%) (national estimate)",SL.EMP.1524.SP.MA.NE.ZS,1990,63.4117981733
North America,NAC,"Employment to population ratio, ages 15-24, total (%) (national estimate)",SL.EMP.1524.SP.NE.ZS,1990,59.948317269
North America,NAC,"Energy imports, net (% of energy use)",EG.IMP.CONS.ZS,1990,9.29521821887
North America,NAC,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,1990,8.8052073594
North America,NAC,Energy related methane emissions (% of total),EN.ATM.METH.EG.ZS,1990,39.6573549371
North America,NAC,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,1990,7655.04526808
North America,NAC,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2011 PPP)",EG.USE.COMM.GD.PP.KD,1990,209.893055875
North America,NAC,"Enrolment in primary education, both sexes (number)",SE.PRM.ENRL,1990,24629248.0
North America,NAC,"Enrolment in secondary education, both sexes (number)",SE.SEC.ENRL,1990,21534340.0
North America,NAC,"Enrolment in secondary general, both sexes (number)",SE.SEC.ENRL.GC,1990,21534258.0
North America,NAC,"Enrolment in secondary vocational, both sexes (number)",SE.SEC.ENRL.VO,1990,82.3343429565
North America,NAC,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,1990,10.4231953686
North America,NAC,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,1990,7.79967141729
North America,NAC,Exports of goods and services (constant 2005 US$),NE.EXP.GNFS.KD,1990,7.94035396477e+11
North America,NAC,Exports of goods and services (current US$),NE.EXP.GNFS.CD,1990,7.00811915018e+11
North America,NAC,External balance on goods and services (% of GDP),NE.RSB.GNFS.ZS,1990,-1.19106514601
North America,NAC,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1990,2.05518834421
North America,NAC,Final consumption expenditure (constant 2005 US$),NE.CON.TOTL.KD,1990,7.37139458497e+12
North America,NAC,"Final consumption expenditure, etc. (annual % growth)",NE.CON.TETC.KD.ZG,1990,2.12235719233
North America,NAC,"Final consumption expenditure, etc. (constant 2005 US$)",NE.CON.TETC.KD,1990,7.34654004373e+12
North America,NAC,"Final consumption expenditure, etc. (current US$)",NE.CON.TETC.CD,1990,5.23979536024e+12
North America,NAC,Fixed telephone subscriptions,IT.MLT.MAIN,1990,151447339.0
North America,NAC,Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,1990,53.6620602409
