CountryName,CountryCode,IndicatorName,IndicatorCode,Year,Value
Nigeria,NGA,Access to electricity (% of population),EG.ELC.ACCS.ZS,1990,41.83774
Nigeria,NGA,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1990,25.11979
Nigeria,NGA,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,1990,72.5035834357
Nigeria,NGA,Access to non-solid fuel (% of population),EG.NSF.ACCS.ZS,1990,22.8519260883
Nigeria,NGA,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,1990,1.89968276181
Nigeria,NGA,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,1990,16698379720.2
Nigeria,NGA,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,1990,-0.698063993273
Nigeria,NGA,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,1990,174.637558909
Nigeria,NGA,"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,1990,-14.2236355334
Nigeria,NGA,"Adjusted net savings, excluding particulate emission damage (current US$)",NY.ADJ.SVNX.CD,1990,-3964061807.52
Nigeria,NGA,"Adjusted net savings, including particulate emission damage (% of GNI)",NY.ADJ.SVNG.GN.ZS,1990,-17.6639508383
Nigeria,NGA,"Adjusted net savings, including particulate emission damage (current US$)",NY.ADJ.SVNG.CD,1990,-4922861860.72
Nigeria,NGA,Adjusted savings: carbon dioxide damage (% of GNI),NY.ADJ.DCO2.GN.ZS,1990,0.804524375784
Nigeria,NGA,Adjusted savings: carbon dioxide damage (current US$),NY.ADJ.DCO2.CD,1990,224217243.459
Nigeria,NGA,Adjusted savings: consumption of fixed capital (% of GNI),NY.ADJ.DKAP.GN.ZS,1990,7.4004260201
Nigeria,NGA,Adjusted savings: consumption of fixed capital (current US$),NY.ADJ.DKAP.CD,1990,2062464696.65
Nigeria,NGA,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,1990,1.31111111111
Nigeria,NGA,Adjusted savings: education expenditure (current US$),NY.ADJ.AEDU.CD,1990,365400636.762
Nigeria,NGA,Adjusted savings: energy depletion (% of GNI),NY.ADJ.DNGY.GN.ZS,1990,30.7321813894
Nigeria,NGA,Adjusted savings: energy depletion (current US$),NY.ADJ.DNGY.CD,1990,8564917613.47
Nigeria,NGA,Adjusted savings: gross savings (% of GNI),NY.ADJ.ICTR.GN.ZS,1990,25.35354063
Nigeria,NGA,Adjusted savings: mineral depletion (% of GNI),NY.ADJ.DMIN.GN.ZS,1990,0.0
Nigeria,NGA,Adjusted savings: mineral depletion (current US$),NY.ADJ.DMIN.CD,1990,0.0
Nigeria,NGA,Adjusted savings: natural resources depletion (% of GNI),NY.ADJ.DRES.GN.ZS,1990,32.68333688
Nigeria,NGA,Adjusted savings: net forest depletion (% of GNI),NY.ADJ.DFOR.GN.ZS,1990,1.9511554906
Nigeria,NGA,Adjusted savings: net forest depletion (current US$),NY.ADJ.DFOR.CD,1990,543778061.71
Nigeria,NGA,Adjusted savings: net national savings (% of GNI),NY.ADJ.NNAT.GN.ZS,1990,17.9531146113
Nigeria,NGA,Adjusted savings: net national savings (current US$),NY.ADJ.NNAT.CD,1990,5003450474.35
Nigeria,NGA,Adjusted savings: particulate emission damage (% of GNI),NY.ADJ.DPEM.GN.ZS,1990,3.44031530491
Nigeria,NGA,Adjusted savings: particulate emission damage (current US$),NY.ADJ.DPEM.CD,1990,958800053.194
Nigeria,NGA,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,1990,148.0054
Nigeria,NGA,Age dependency ratio (% of working-age population),SP.POP.DPND,1990,91.3696706835
Nigeria,NGA,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,1990,5.49153539958
Nigeria,NGA,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,1990,85.8781352839
Nigeria,NGA,Agricultural land (% of land area),AG.LND.AGRI.ZS,1990,67.6197064023
Nigeria,NGA,Agricultural land (sq. km),AG.LND.AGRI.K2,1990,615860.0
Nigeria,NGA,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,1990,13900.0
Nigeria,NGA,"Agricultural machinery, tractors per 100 sq. km of arable land",AG.LND.TRAC.ZS,1990,4.70564338671
Nigeria,NGA,Agricultural methane emissions (% of total),EN.ATM.METH.AG.ZS,1990,33.7861198021
Nigeria,NGA,Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,1990,22007.4
Nigeria,NGA,Agricultural nitrous oxide emissions (% of total),EN.ATM.NOXE.AG.ZS,1990,81.5960646994
