CountryName,CountryCode,IndicatorName,IndicatorCode,Year,Value
Pakistan,PAK,Access to electricity (% of population),EG.ELC.ACCS.ZS,1990,59.6
Pakistan,PAK,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1990,44.7
Pakistan,PAK,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,1990,93.4310308739
Pakistan,PAK,Access to non-solid fuel (% of population),EG.NSF.ACCS.ZS,1990,6.84269070625
Pakistan,PAK,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,1990,2.79661067648
Pakistan,PAK,Adjusted net national income (constant 2005 US$),NY.ADJ.NNTY.KD,1990,54641669531.9
Pakistan,PAK,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,1990,37396599879.0
Pakistan,PAK,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,1990,-0.142772011963
Pakistan,PAK,Adjusted net national income per capita (constant 2005 US$),NY.ADJ.NNTY.PC.KD,1990,507.78615756
Pakistan,PAK,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,1990,347.52737098
Pakistan,PAK,"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,1990,12.1623950234
Pakistan,PAK,"Adjusted net savings, excluding particulate emission damage (current US$)",NY.ADJ.SVNX.CD,1990,5076010698.71
Pakistan,PAK,"Adjusted net savings, including particulate emission damage (% of GNI)",NY.ADJ.SVNG.GN.ZS,1990,5.35174320175
Pakistan,PAK,"Adjusted net savings, including particulate emission damage (current US$)",NY.ADJ.SVNG.CD,1990,2233565485.79
Pakistan,PAK,Adjusted savings: carbon dioxide damage (% of GNI),NY.ADJ.DCO2.GN.ZS,1990,0.811802956778
Pakistan,PAK,Adjusted savings: carbon dioxide damage (current US$),NY.ADJ.DCO2.CD,1990,338808309.212
Pakistan,PAK,Adjusted savings: consumption of fixed capital (% of GNI),NY.ADJ.DKAP.GN.ZS,1990,7.51747237435
Pakistan,PAK,Adjusted savings: consumption of fixed capital (current US$),NY.ADJ.DKAP.CD,1990,3137438812.51
Pakistan,PAK,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,1990,1.9
Pakistan,PAK,Adjusted savings: education expenditure (current US$),NY.ADJ.AEDU.CD,1990,792970488.872
Pakistan,PAK,Adjusted savings: energy depletion (% of GNI),NY.ADJ.DNGY.GN.ZS,1990,1.51678913372
Pakistan,PAK,Adjusted savings: energy depletion (current US$),NY.ADJ.DNGY.CD,1990,633036326.782
Pakistan,PAK,Adjusted savings: gross savings (% of GNI),NY.ADJ.ICTR.GN.ZS,1990,21.46993052
Pakistan,PAK,Adjusted savings: mineral depletion (% of GNI),NY.ADJ.DMIN.GN.ZS,1990,8.26778514206e-05
Pakistan,PAK,Adjusted savings: mineral depletion (current US$),NY.ADJ.DMIN.CD,1990,34505.8401368
Pakistan,PAK,Adjusted savings: natural resources depletion (% of GNI),NY.ADJ.DRES.GN.ZS,1990,2.87826016891
Pakistan,PAK,Adjusted savings: net forest depletion (% of GNI),NY.ADJ.DFOR.GN.ZS,1990,1.36138835733
Pakistan,PAK,Adjusted savings: net forest depletion (current US$),NY.ADJ.DFOR.CD,1990,568179363.82
Pakistan,PAK,Adjusted savings: net national savings (% of GNI),NY.ADJ.NNAT.GN.ZS,1990,13.9524581491
Pakistan,PAK,Adjusted savings: net national savings (current US$),NY.ADJ.NNAT.CD,1990,5823098715.49
Pakistan,PAK,Adjusted savings: particulate emission damage (% of GNI),NY.ADJ.DPEM.GN.ZS,1990,6.81065182163
Pakistan,PAK,Adjusted savings: particulate emission damage (current US$),NY.ADJ.DPEM.CD,1990,2842445212.91
Pakistan,PAK,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,1990,83.725
Pakistan,PAK,Age dependency ratio (% of working-age population),SP.POP.DPND,1990,88.3789552089
Pakistan,PAK,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,1990,7.36178036426
Pakistan,PAK,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,1990,81.0171748447
Pakistan,PAK,Agricultural land (% of land area),AG.LND.AGRI.ZS,1990,45.6698837692
Pakistan,PAK,Agricultural land (sq. km),AG.LND.AGRI.K2,1990,352060.0
Pakistan,PAK,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,1990,265728.0
Pakistan,PAK,"Agricultural machinery, tractors per 100 sq. km of arable land",AG.LND.TRAC.ZS,1990,129.724663152
Pakistan,PAK,Agricultural methane emissions (% of total),EN.ATM.METH.AG.ZS,1990,71.1310802031
Pakistan,PAK,Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,1990,64592.0
Pakistan,PAK,Agricultural nitrous oxide emissions (% of total),EN.ATM.NOXE.AG.ZS,1990,74.1157268582
