CountryName,CountryCode,IndicatorName,IndicatorCode,Year,Value
Syrian Arab Republic,SYR,Access to electricity (% of population),EG.ELC.ACCS.ZS,1990,85.03773
Syrian Arab Republic,SYR,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1990,69.67946
Syrian Arab Republic,SYR,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,1990,100.0
Syrian Arab Republic,SYR,Access to non-solid fuel (% of population),EG.NSF.ACCS.ZS,1990,85.1477324963
Syrian Arab Republic,SYR,"Adjusted net enrolment rate, primary, both sexes (%)",SE.PRM.TENR,1990,94.98001
Syrian Arab Republic,SYR,"Adjusted net enrolment rate, primary, female (%)",SE.PRM.TENR.FE,1990,90.81766
Syrian Arab Republic,SYR,"Adjusted net enrolment rate, primary, male (%)",SE.PRM.TENR.MA,1990,98.97797
Syrian Arab Republic,SYR,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,1990,4.23332377479
Syrian Arab Republic,SYR,Adjusted net national income (constant 2005 US$),NY.ADJ.NNTY.KD,1990,10175313413.0
Syrian Arab Republic,SYR,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,1990,9057329381.53
Syrian Arab Republic,SYR,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,1990,1.19607225924
Syrian Arab Republic,SYR,Adjusted net national income per capita (constant 2005 US$),NY.ADJ.NNTY.PC.KD,1990,817.193233146
Syrian Arab Republic,SYR,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,1990,727.406417916
Syrian Arab Republic,SYR,"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,1990,-6.47213123011
Syrian Arab Republic,SYR,"Adjusted net savings, excluding particulate emission damage (current US$)",NY.ADJ.SVNX.CD,1990,-773737377.821
Syrian Arab Republic,SYR,"Adjusted net savings, including particulate emission damage (% of GNI)",NY.ADJ.SVNG.GN.ZS,1990,-7.64041506611
Syrian Arab Republic,SYR,"Adjusted net savings, including particulate emission damage (current US$)",NY.ADJ.SVNG.CD,1990,-913404643.468
Syrian Arab Republic,SYR,Adjusted savings: carbon dioxide damage (% of GNI),NY.ADJ.DCO2.GN.ZS,1990,1.54798221409
Syrian Arab Republic,SYR,Adjusted savings: carbon dioxide damage (current US$),NY.ADJ.DCO2.CD,1990,185059859.984
Syrian Arab Republic,SYR,Adjusted savings: consumption of fixed capital (% of GNI),NY.ADJ.DKAP.GN.ZS,1990,4.35166457515
Syrian Arab Republic,SYR,Adjusted savings: consumption of fixed capital (current US$),NY.ADJ.DKAP.CD,1990,520237525.758
Syrian Arab Republic,SYR,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,1990,4.1
Syrian Arab Republic,SYR,Adjusted savings: education expenditure (current US$),NY.ADJ.AEDU.CD,1990,490151255.634
Syrian Arab Republic,SYR,Adjusted savings: energy depletion (% of GNI),NY.ADJ.DNGY.GN.ZS,1990,19.8859048742
Syrian Arab Republic,SYR,Adjusted savings: energy depletion (current US$),NY.ADJ.DNGY.CD,1990,2377341766.71
Syrian Arab Republic,SYR,Adjusted savings: gross savings (% of GNI),NY.ADJ.ICTR.GN.ZS,1990,15.21342043
Syrian Arab Republic,SYR,Adjusted savings: mineral depletion (% of GNI),NY.ADJ.DMIN.GN.ZS,1990,0.0
Syrian Arab Republic,SYR,Adjusted savings: mineral depletion (current US$),NY.ADJ.DMIN.CD,1990,0.0
Syrian Arab Republic,SYR,Adjusted savings: natural resources depletion (% of GNI),NY.ADJ.DRES.GN.ZS,1990,19.8859048742
Syrian Arab Republic,SYR,Adjusted savings: net forest depletion (% of GNI),NY.ADJ.DFOR.GN.ZS,1990,0.0
Syrian Arab Republic,SYR,Adjusted savings: net forest depletion (current US$),NY.ADJ.DFOR.CD,1990,0.0
Syrian Arab Republic,SYR,Adjusted savings: net national savings (% of GNI),NY.ADJ.NNAT.GN.ZS,1990,10.8617558582
Syrian Arab Republic,SYR,Adjusted savings: net national savings (current US$),NY.ADJ.NNAT.CD,1990,1298512993.24
Syrian Arab Republic,SYR,Adjusted savings: particulate emission damage (% of GNI),NY.ADJ.DPEM.GN.ZS,1990,1.168283836
Syrian Arab Republic,SYR,Adjusted savings: particulate emission damage (current US$),NY.ADJ.DPEM.CD,1990,139667265.647
Syrian Arab Republic,SYR,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,1990,73.608
Syrian Arab Republic,SYR,Age dependency ratio (% of working-age population),SP.POP.DPND,1990,99.7781853783
Syrian Arab Republic,SYR,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,1990,6.04287207337
Syrian Arab Republic,SYR,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,1990,93.7353133049
Syrian Arab Republic,SYR,Agricultural land (% of land area),AG.LND.AGRI.ZS,1990,73.4301882686
Syrian Arab Republic,SYR,Agricultural land (sq. km),AG.LND.AGRI.K2,1990,134950.0
Syrian Arab Republic,SYR,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,1990,62557.0
Syrian Arab Republic,SYR,"Agricultural machinery, tractors per 100 sq. km of arable land",AG.LND.TRAC.ZS,1990,128.059365404
Syrian Arab Republic,SYR,Agricultural methane emissions (% of total),EN.ATM.METH.AG.ZS,1990,30.4320862503
Syrian Arab Republic,SYR,Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,1990,2551.7
Syrian Arab Republic,SYR,Agricultural nitrous oxide emissions (% of total),EN.ATM.NOXE.AG.ZS,1990,78.3024872699
Syrian Arab Republic,SYR,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,1990,3198.5
Syrian Arab Republic,SYR,Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN,1990,4.49988888121
Syrian Arab Republic,SYR,Agricultural raw materials imports (% of merchandise imports),TM.VAL.AGRI.ZS.UN,1990,1.88159575966
Syrian Arab Republic,SYR,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,1990,29.8127496769
Syrian Arab Republic,SYR,"Agriculture, value added (annual % growth)",NV.AGR.TOTL.KD.ZG,1990,20.8852064905
Syrian Arab Republic,SYR,"Agriculture, value added (constant LCU)",NV.AGR.TOTL.KN,1990,1.229340386e+11
Syrian Arab Republic,SYR,"Agriculture, value added (current LCU)",NV.AGR.TOTL.CN,1990,75897000000.0
Syrian Arab Republic,SYR,"Agriculture, value added (current US$)",NV.AGR.TOTL.CD,1990,3481513883.31
Syrian Arab Republic,SYR,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,1990,17.7000007629
Syrian Arab Republic,SYR,"Air transport, passengers carried",IS.AIR.PSGR,1990,613300.0
Syrian Arab Republic,SYR,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,1990,11200.0
Syrian Arab Republic,SYR,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,1990,2.24176892278
Syrian Arab Republic,SYR,Arable land (% of land area),AG.LND.ARBL.ZS,1990,26.5806943084
Syrian Arab Republic,SYR,Arable land (hectares per person),AG.LND.ARBL.HA.PC,1990,0.392320981366
Syrian Arab Republic,SYR,Arable land (hectares),AG.LND.ARBL.HA,1990,4885000.0
Syrian Arab Republic,SYR,Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,1990,12.3709539703
Syrian Arab Republic,SYR,"Armed forces personnel, total",MS.MIL.TOTL.P1,1990,408000.0
Syrian Arab Republic,SYR,Arms imports (SIPRI trend indicator values),MS.MIL.MPRT.KD,1990,734000000.0
Syrian Arab Republic,SYR,Average grace period on new external debt commitments (years),DT.GPA.DPPG,1990,6.0836
Syrian Arab Republic,SYR,"Average grace period on new external debt commitments, official (years)",DT.GPA.OFFT,1990,6.1575
Syrian Arab Republic,SYR,"Average grace period on new external debt commitments, private (years)",DT.GPA.PRVT,1990,3.6439
Syrian Arab Republic,SYR,Average grant element on new external debt commitments (%),DT.GRE.DPPG,1990,43.6374
Syrian Arab Republic,SYR,"Average grant element on new external debt commitments, official (%)",DT.GRE.OFFT,1990,43.8602
Syrian Arab Republic,SYR,"Average grant element on new external debt commitments, private (%)",DT.GRE.PRVT,1990,36.2825
Syrian Arab Republic,SYR,Average interest on new external debt commitments (%),DT.INR.DPPG,1990,3.7495
Syrian Arab Republic,SYR,"Average interest on new external debt commitments, official (%)",DT.INR.OFFT,1990,3.7715
Syrian Arab Republic,SYR,"Average interest on new external debt commitments, private (%)",DT.INR.PRVT,1990,3.0216
Syrian Arab Republic,SYR,Average maturity on new external debt commitments (years),DT.MAT.DPPG,1990,22.702
Syrian Arab Republic,SYR,"Average maturity on new external debt commitments, official (years)",DT.MAT.OFFT,1990,23.0026
Syrian Arab Republic,SYR,"Average maturity on new external debt commitments, private (years)",DT.MAT.PRVT,1990,12.7798
Syrian Arab Republic,SYR,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,1990,35.748
Syrian Arab Republic,SYR,Cereal production (metric tons),AG.PRD.CREL.MT,1990,3100767.0
Syrian Arab Republic,SYR,Cereal yield (kg per hectare),AG.YLD.CREL.KG,1990,749.988
Syrian Arab Republic,SYR,Changes in inventories (constant LCU),NE.GDI.STKB.KN,1990,0.0
Syrian Arab Republic,SYR,Changes in inventories (current LCU),NE.GDI.STKB.CN,1990,0.0
Syrian Arab Republic,SYR,Changes in inventories (current US$),NE.GDI.STKB.CD,1990,0.0
Syrian Arab Republic,SYR,Chemicals (% of value added in manufacturing),NV.MNF.CHEM.ZS.UN,1990,9.36605316999
Syrian Arab Republic,SYR,CO2 emissions (kg per 2005 US$ of GDP),EN.ATM.CO2E.KD.GD,1990,2.71090712452
Syrian Arab Republic,SYR,CO2 emissions (kt),EN.ATM.CO2E.KT,1990,37451.071
Syrian Arab Republic,SYR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1990,3.00774635168
Syrian Arab Republic,SYR,"CO2 emissions from electricity and heat production, total (% of total fuel combustion)",EN.CO2.ETOT.ZS,1990,27.9829545455
Syrian Arab Republic,SYR,CO2 emissions from gaseous fuel consumption (% of total),EN.ATM.CO2E.GF.ZS,1990,8.37168314893
Syrian Arab Republic,SYR,CO2 emissions from gaseous fuel consumption (kt),EN.ATM.CO2E.GF.KT,1990,3135.285
Syrian Arab Republic,SYR,CO2 emissions from liquid fuel consumption (% of total),EN.ATM.CO2E.LF.ZS,1990,76.0892979536
Syrian Arab Republic,SYR,CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,1990,28496.257
Syrian Arab Republic,SYR,CO2 emissions from manufacturing industries and construction (% of total fuel combustion),EN.CO2.MANF.ZS,1990,14.6661931818
Syrian Arab Republic,SYR,"CO2 emissions from other sectors, excluding residential buildings and commercial and public services (% of total fuel combustion)",EN.CO2.OTHX.ZS,1990,21.5909090909
Syrian Arab Republic,SYR,CO2 emissions from residential buildings and commercial and public services (% of total fuel combustion),EN.CO2.BLDG.ZS,1990,10.2627840909
Syrian Arab Republic,SYR,CO2 emissions from solid fuel consumption (% of total),EN.ATM.CO2E.SF.ZS,1990,0.0
Syrian Arab Republic,SYR,CO2 emissions from solid fuel consumption (kt),EN.ATM.CO2E.SF.KT,1990,0.0
Syrian Arab Republic,SYR,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,1990,25.4616477273
Syrian Arab Republic,SYR,CO2 intensity (kg per kg of oil equivalent energy use),EN.ATM.CO2E.EG.ZS,1990,3.57859267769
Syrian Arab Republic,SYR,Coal rents (% of GDP),NY.GDP.COAL.RT.ZS,1990,0.0
Syrian Arab Republic,SYR,Combustible renewables and waste (% of total energy),EG.USE.CRNW.ZS,1990,0.021948711108
Syrian Arab Republic,SYR,"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",DT.NFL.PCBO.CD,1990,-52942000.0
Syrian Arab Republic,SYR,"Commitments, IBRD (COM, current US$)",DT.COM.MIBR.CD,1990,0.0
Syrian Arab Republic,SYR,"Commitments, IDA (COM, current US$)",DT.COM.MIDA.CD,1990,0.0
Syrian Arab Republic,SYR,"Commitments, official creditors (COM, current US$)",DT.COM.OFFT.CD,1990,333938000.0
Syrian Arab Republic,SYR,"Commitments, private creditors (COM, current US$)",DT.COM.PRVT.CD,1990,10115000.0
Syrian Arab Republic,SYR,"Commitments, public and publicly guaranteed (COM, current US$)",DT.COM.DPPG.CD,1990,344053000.0
Syrian Arab Republic,SYR,Concessional debt (% of total external debt),DT.DOD.ALLC.ZS,1990,76.2453
Syrian Arab Republic,SYR,Consumer price index (2010 = 100),FP.CPI.TOTL,1990,33.3876067915
Syrian Arab Republic,SYR,Crop production index (2004-2006 = 100),AG.PRD.CROP.XD,1990,51.6
